PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,crime_rate,school_quality
528181040,1368,202665,120,RL,40.0,6792,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,94.0,Gd,TA,PConc,4,3,1,1,0.0,1,0.0,1368.0,1368.0,GasA,Ex,Y,SBrkr,1368,0,0,0,0,2,0,2,1,Gd,6,Typ,1,4,Attchd,2005,2,2,474.0,3,3,Y,132,35,0,0,0,0,0,0,None,0,3,2006,New,Partial,5,10
908102110,992,155891,20,RL,68.0,8842,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,2,3,1,1,0.0,1,0.0,381.0,381.0,GasA,Ex,Y,SBrkr,992,0,0,0,0,1,0,3,1,TA,6,Typ,0,0,Detchd,1954,1,2,319.0,3,3,Y,60,0,56,0,0,0,0,3,None,0,1,2010,Oth,Abnorml,1,4
533217050,1252,160000,160,FV,24.0,2160,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,212.0,Gd,TA,PConc,4,3,1,4,510.0,1,0.0,90.0,600.0,GasA,Ex,Y,SBrkr,624,628,0,1,0,2,1,2,1,Gd,4,Typ,0,0,Detchd,1999,1,2,462.0,3,3,Y,0,48,0,0,0,0,0,0,None,0,3,2008,WD ,Normal,6,7
533350090,2944,150000,60,RL,0.0,24572,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,1Fam,2Story,9,3,1977,1977,Mansard,CompShg,Wd Sdng,Wd Sdng,BrkFace,1050.0,Gd,Gd,CBlock,4,3,1,6,410.0,1,0.0,584.0,994.0,GasA,TA,Y,SBrkr,1599,1345,0,0,0,2,2,3,1,Gd,9,Typ,1,4,Attchd,1977,2,2,864.0,3,3,Y,140,70,16,0,0,0,0,0,None,0,6,2008,WD ,Family,6,7
528445070,1830,221300,60,RL,75.0,8778,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,1,1,0.0,1,0.0,1302.0,1302.0,GasA,Ex,Y,SBrkr,1302,528,0,0,0,2,1,3,1,Gd,7,Typ,0,0,BuiltIn,2006,2,2,859.0,3,3,Y,0,40,0,0,0,0,0,0,None,0,3,2007,WD ,Normal,6,7
527212040,2576,361919,60,RL,82.0,12438,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,8,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,466.0,Ex,TA,PConc,5,4,1,1,0.0,1,0.0,1234.0,1234.0,GasA,Ex,Y,SBrkr,1264,1312,0,0,0,2,1,4,1,Ex,10,Typ,1,4,BuiltIn,2006,3,2,666.0,3,3,Y,324,100,0,0,0,0,0,0,None,0,7,2006,New,Partial,5,10
907200270,1040,134900,20,RL,45.0,8982,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,4,3,4,5,539.0,1,0.0,501.0,1040.0,GasA,TA,Y,SBrkr,1040,0,0,0,0,1,1,3,1,TA,5,Typ,0,0,Detchd,1977,1,2,748.0,3,3,Y,0,0,0,0,0,0,0,3,None,0,1,2007,WD ,Normal,1,3
908201040,698,118000,20,RL,50.0,9405,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,9,1947,2008,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,Ex,CBlock,3,3,1,1,0.0,1,0.0,698.0,698.0,GasA,Ex,Y,SBrkr,698,0,0,0,1,1,0,2,1,TA,4,Typ,0,0,NoGarage,0,0,0,0.0,0,0,Y,0,200,0,0,0,0,0,0,None,0,6,2009,WD ,Normal,1,4
907410100,1611,195800,60,RL,70.0,8400,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,4,1,0.0,1,0.0,784.0,784.0,GasA,Ex,Y,SBrkr,784,827,0,0,0,2,1,3,1,Gd,6,Typ,0,0,Attchd,2005,2,2,572.0,3,3,Y,144,36,0,0,0,0,0,0,None,0,3,2006,WD ,Normal,1,3
903481120,1666,135000,50,RM,60.0,5160,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Fa,BrkTil,3,3,1,1,0.0,1,0.0,1204.0,1204.0,GasA,TA,Y,FuseA,1204,462,0,0,0,1,0,3,1,TA,4,Typ,0,0,Detchd,1927,1,2,384.0,2,3,Y,0,0,148,0,0,0,0,0,None,0,8,2009,WD ,Normal,0,6
535453180,1242,152000,20,RL,70.0,7903,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1960,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,3,3,1,3,739.0,1,0.0,503.0,1242.0,GasA,Gd,Y,FuseA,1242,0,0,1,0,1,1,3,1,TA,6,Typ,0,0,Attchd,1960,2,2,324.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,5,2007,WD ,Family,1,5
907227110,768,133900,85,RL,60.0,7200,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,8,1972,2003,Gable,CompShg,WdShing,HdBoard,None,0.0,TA,Gd,CBlock,4,3,4,6,660.0,1,0.0,108.0,768.0,GasA,Gd,Y,SBrkr,768,0,0,0,1,1,0,2,1,TA,5,Typ,0,0,Detchd,1972,3,2,396.0,3,3,Y,192,0,0,0,0,0,0,3,None,0,4,2009,WD ,Normal,1,3
531453010,1097,152000,20,RL,81.0,9672,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,5,1984,1985,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,PConc,4,3,1,6,338.0,1,0.0,702.0,1040.0,GasA,TA,Y,SBrkr,1097,0,0,0,0,2,0,3,1,TA,6,Typ,0,0,Attchd,1984,1,2,480.0,3,3,Y,0,0,0,0,0,0,0,4,None,0,5,2010,WD ,Normal,5,2
531478010,1056,107000,20,RH,0.0,8900,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,4,4,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,3,3,1,3,1056.0,1,0.0,0.0,1056.0,GasA,TA,Y,SBrkr,1056,0,0,1,0,1,0,2,1,TA,5,Typ,0,0,Detchd,1966,1,2,384.0,3,3,Y,0,42,0,0,0,0,0,3,None,0,11,2006,WD ,Normal,5,2
535403200,864,120000,20,RL,60.0,7332,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Gable,CompShg,WdShing,Wd Shng,BrkFace,207.0,TA,TA,CBlock,3,3,1,4,414.0,1,0.0,450.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,1,0,1,0,2,1,Gd,4,Typ,0,0,Attchd,1959,1,2,288.0,3,3,Y,168,0,0,0,0,0,0,0,None,0,10,2006,WD ,Abnorml,1,5
527254020,2046,372500,20,RL,80.0,11844,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,1Story,8,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,464.0,Gd,TA,PConc,5,3,2,1,0.0,1,0.0,2046.0,2046.0,GasA,Ex,Y,SBrkr,2046,0,0,0,0,2,1,3,1,Gd,7,Typ,1,4,Attchd,2008,3,2,834.0,3,3,Y,322,82,0,0,0,0,0,0,None,0,7,2009,New,Partial,5,10
527366030,1874,220000,60,FV,0.0,7500,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,RRNn,Norm,1Fam,2Story,8,5,2000,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,1,1,0.0,1,0.0,1058.0,1058.0,GasA,Ex,Y,SBrkr,1058,816,0,0,0,2,1,3,1,Gd,7,Typ,1,3,Attchd,2000,3,2,588.0,3,3,Y,0,134,0,0,0,0,0,0,None,0,3,2009,WD ,Normal,6,7
535325460,2039,167000,30,RL,118.0,21299,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1941,1963,Hip,WdShake,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,3,3,1,1,0.0,1,0.0,929.0,929.0,GasA,Ex,Y,SBrkr,2039,0,0,1,0,1,1,3,1,TA,7,Min1,3,4,2Types,1941,1,2,791.0,3,3,Y,0,0,90,0,0,0,0,0,None,0,12,2006,COD,Abnorml,1,5
528110040,2552,479069,20,RL,107.0,13891,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,Stone,456.0,Ex,TA,PConc,5,3,3,6,1812.0,1,0.0,740.0,2552.0,GasA,Ex,Y,SBrkr,2552,0,0,1,0,2,0,3,1,Ex,8,Typ,2,5,Attchd,2007,3,2,932.0,3,3,Y,130,28,0,0,0,0,0,0,None,0,10,2007,New,Partial,5,10
906392090,1846,233555,20,RL,90.0,13377,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,1,6,1576.0,1,0.0,260.0,1836.0,GasA,Gd,Y,SBrkr,1846,0,0,1,0,2,0,3,1,Gd,7,Typ,1,4,Attchd,2006,2,2,495.0,3,3,Y,0,32,0,0,0,0,0,0,None,0,7,2006,New,Partial,1,3
535452140,732,118900,20,RL,60.0,7200,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1952,1952,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,3,4,1,5,630.0,4,102.0,0.0,732.0,GasA,TA,Y,SBrkr,732,0,0,1,0,1,0,2,1,TA,4,Typ,0,0,Detchd,1952,1,2,240.0,3,3,Y,0,68,0,0,0,0,0,0,None,0,9,2009,WD ,Normal,1,5
535151160,1283,140000,20,RL,70.0,7763,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1962,1980,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,3,3,1,3,504.0,4,108.0,319.0,931.0,GasA,TA,Y,SBrkr,1283,0,0,1,0,1,0,3,1,TA,6,Typ,0,0,Detchd,1962,1,2,506.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,10,2008,WD ,Normal,1,5
535456050,1800,130000,90,RL,113.0,8513,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,Duplex,1Story,5,5,1961,1961,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,3,3,4,1,0.0,1,0.0,1800.0,1800.0,GasA,TA,N,SBrkr,1800,0,0,0,0,2,0,6,2,TA,10,Typ,0,0,NoGarage,0,0,0,0.0,0,0,N,0,0,0,0,0,0,0,0,None,0,11,2008,WD ,Abnorml,1,5
903429110,1944,179900,70,RM,68.0,9928,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,1994,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,BrkTil,3,3,1,1,0.0,1,0.0,672.0,672.0,GasA,Fa,Y,SBrkr,1272,672,0,0,0,2,0,3,1,TA,8,Min2,0,0,Detchd,1915,1,2,216.0,3,3,N,24,28,0,0,0,0,0,0,Shed,400,6,2009,WD ,Normal,0,5
916455150,1922,282000,20,RL,80.0,11305,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,886.0,Gd,TA,PConc,4,3,4,6,1329.0,1,0.0,593.0,1922.0,GasA,Ex,Y,SBrkr,1922,0,0,1,0,2,0,2,1,Gd,6,Typ,1,5,Attchd,2002,3,2,692.0,3,3,Y,201,64,0,0,0,0,0,0,None,0,4,2007,WD ,Normal,3,6
909425180,1647,217500,20,RL,80.0,12984,Pave,0,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,459.0,TA,TA,CBlock,4,3,2,5,1283.0,2,147.0,0.0,1430.0,GasA,Ex,Y,SBrkr,1647,0,0,1,0,2,0,3,1,Gd,7,Typ,1,3,Attchd,1977,3,2,621.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,3,2006,WD ,Normal,5,2
528175050,1358,212500,120,RL,80.0,10307,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,176.0,Gd,TA,PConc,4,3,1,6,876.0,1,0.0,474.0,1350.0,GasA,Ex,Y,SBrkr,1358,0,0,1,0,2,0,2,1,Gd,6,Typ,1,4,Attchd,2007,2,2,484.0,3,3,Y,192,26,0,0,0,0,0,0,None,0,5,2009,WD ,Normal,5,10
910205010,1656,126000,80,RM,75.0,6000,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,SLvl,5,5,1967,1967,Hip,CompShg,HdBoard,Plywood,None,0.0,Fa,TA,CBlock,4,3,2,3,257.0,1,0.0,367.0,624.0,GasA,Ex,Y,SBrkr,1092,564,0,0,0,1,1,3,1,TA,7,Mod,1,1,Attchd,1967,1,2,288.0,3,3,Y,0,180,0,0,100,0,0,3,None,0,7,2008,WD ,Normal,0,6
533206020,3005,280750,160,FV,32.0,2880,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,4,3,1,1,0.0,1,0.0,1376.0,1376.0,GasA,Ex,Y,SBrkr,1376,1629,0,0,0,2,1,3,1,Gd,9,Mod,1,3,BuiltIn,2004,3,2,704.0,3,3,Y,0,177,0,0,0,0,0,0,None,0,7,2009,WD ,Normal,6,7
902427040,1248,87000,50,RM,52.0,9439,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,3,3,1,2,324.0,1,0.0,588.0,912.0,GasA,Gd,Y,FuseA,912,336,0,0,0,1,0,2,1,TA,6,Typ,0,0,Detchd,1930,1,2,160.0,2,2,Y,0,0,192,0,0,0,0,0,None,0,3,2007,WD ,Normal,0,5
528427020,1468,244600,20,RL,74.0,9612,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,8,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,Stone,72.0,Gd,TA,PConc,4,3,1,1,0.0,1,0.0,1468.0,1468.0,GasA,Ex,Y,SBrkr,1468,0,0,0,0,2,0,3,1,Gd,6,Typ,1,4,Attchd,2008,3,2,898.0,3,3,Y,210,150,0,0,0,0,0,0,None,0,12,2009,New,Partial,6,7
528458070,1547,215200,60,FV,72.0,8640,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,4,3,2,6,24.0,1,0.0,732.0,756.0,GasA,Ex,Y,SBrkr,764,783,0,0,0,2,1,3,1,Gd,7,Typ,0,0,Attchd,2009,1,2,614.0,3,3,Y,169,45,0,0,0,0,0,0,None,0,6,2010,Con,Normal,6,7
903401030,1716,162500,50,RL,60.0,9144,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,4,1915,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,BrkTil,3,3,1,1,0.0,1,0.0,810.0,810.0,GasA,Ex,Y,SBrkr,1170,546,0,0,0,2,0,4,1,Gd,8,Typ,0,0,Detchd,1915,1,2,672.0,3,3,Y,0,195,0,0,0,0,0,0,None,0,3,2008,WD ,Normal,0,5
909275040,1603,138000,70,RL,0.0,9650,Pave,0,IR1,HLS,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,3,1923,1950,Hip,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,BrkTil,3,3,1,1,0.0,1,0.0,784.0,784.0,GasA,TA,Y,SBrkr,819,784,0,0,0,1,0,4,1,TA,7,Typ,1,4,Attchd,1923,1,2,599.0,3,3,Y,0,217,0,0,0,0,0,0,None,0,6,2008,WD ,Normal,5,2
527163130,1516,181316,60,RL,0.0,8803,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1994,1995,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,4,3,1,6,600.0,1,0.0,107.0,707.0,GasA,Gd,Y,SBrkr,707,809,0,1,0,2,1,3,1,Gd,7,Typ,1,3,Attchd,1994,3,2,409.0,3,3,Y,0,46,0,0,0,0,0,0,None,0,7,2009,WD ,Normal,5,10
905200350,1138,148000,80,RL,88.0,15312,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,5,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,54.0,TA,TA,CBlock,3,3,4,4,588.0,1,0.0,550.0,1138.0,GasA,Ex,Y,SBrkr,1138,0,0,0,1,1,0,3,1,TA,6,Typ,1,3,Attchd,1960,2,2,480.0,3,3,Y,0,0,0,0,140,0,0,3,None,0,3,2009,COD,Normal,5,2
528363050,2063,315000,20,RL,0.0,10750,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,5,1994,1995,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,634.0,Gd,TA,PConc,4,3,4,4,236.0,6,1526.0,262.0,2024.0,GasA,Ex,Y,SBrkr,2063,0,0,1,0,2,0,3,1,Gd,7,Typ,2,4,Attchd,1994,3,2,815.0,3,3,Y,182,56,0,0,0,0,0,0,None,0,6,2009,WD ,Normal,6,7
908154205,4676,184750,60,RL,130.0,40094,Pave,0,IR1,Bnk,AllPub,Inside,Gtl,Edwards,PosN,PosN,1Fam,2Story,10,5,2007,2008,Hip,CompShg,CemntBd,CmentBd,Stone,762.0,Ex,TA,PConc,5,3,3,6,2260.0,1,0.0,878.0,3138.0,GasA,Ex,Y,SBrkr,3138,1538,0,1,0,3,1,3,1,Ex,11,Typ,1,4,BuiltIn,2007,3,2,884.0,3,3,Y,208,406,0,0,0,0,0,0,None,0,10,2007,New,Partial,1,4
903233140,854,132000,45,RM,51.0,6120,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,3,3,1,1,0.0,1,0.0,832.0,832.0,GasA,Ex,Y,FuseA,854,0,0,0,0,1,0,2,1,TA,5,Typ,0,0,Detchd,1929,1,2,576.0,3,3,Y,48,112,0,0,0,0,0,4,None,0,7,2007,WD ,Normal,0,5
905107070,1400,149500,60,RL,74.0,7844,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkFace,203.0,TA,TA,CBlock,3,3,1,5,209.0,1,0.0,463.0,672.0,GasA,TA,Y,SBrkr,672,728,0,0,0,1,1,3,1,TA,6,Typ,1,3,Attchd,1978,3,2,440.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,3,2006,WD ,Normal,5,2
528240020,1720,183500,60,RL,62.0,8244,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,1,1,0.0,1,0.0,840.0,840.0,GasA,Ex,Y,SBrkr,840,880,0,0,0,2,1,3,1,Gd,7,Typ,1,4,Attchd,2004,3,2,440.0,3,3,Y,100,48,0,0,0,0,0,0,None,0,5,2007,WD ,Normal,5,10
906225180,1440,224500,90,RL,73.0,9069,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,SFoyer,6,8,1993,1993,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,Gd,PConc,4,3,4,2,261.0,6,1083.0,0.0,1344.0,GasA,Gd,Y,SBrkr,1440,0,0,2,0,2,0,2,2,Gd,8,Typ,0,0,Attchd,1993,1,2,920.0,3,3,Y,288,0,0,0,0,0,0,0,None,0,4,2006,WD ,Normal,5,2
528114010,1868,415000,20,RL,120.0,14780,Pave,0,IR1,HLS,AllPub,Corner,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,568.0,Ex,TA,PConc,5,3,3,6,1505.0,1,0.0,363.0,1868.0,GasA,Ex,Y,SBrkr,1868,0,0,1,0,2,0,2,1,Ex,7,Typ,1,4,Attchd,2005,3,2,1085.0,3,3,Y,354,56,0,0,156,0,0,0,None,0,6,2006,WD ,Normal,5,10
907126030,990,155000,20,RL,65.0,9750,Pave,0,Reg,Low,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,4,3,1,6,722.0,1,0.0,268.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,1,0,1,0,3,1,TA,5,Typ,0,0,Detchd,1994,1,2,528.0,3,3,Y,168,0,0,0,0,0,0,0,None,0,8,2008,WD ,Normal,1,3
904100160,1271,135000,50,RL,115.0,21286,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,5,5,1948,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,3,3,1,1,0.0,1,0.0,720.0,720.0,GasA,TA,Y,SBrkr,720,551,0,0,0,2,0,4,1,TA,7,Typ,1,4,Attchd,1948,1,2,312.0,3,3,Y,0,0,108,0,0,0,0,0,None,0,8,2008,WD ,Normal,5,2
909254130,1646,164000,75,RL,53.0,7128,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2.5Unf,7,5,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,3,3,1,3,364.0,1,0.0,554.0,918.0,GasA,Gd,Y,SBrkr,918,728,0,0,0,2,0,4,1,TA,7,Typ,2,4,Detchd,1941,1,2,240.0,3,3,Y,0,0,0,0,126,0,0,3,None,0,8,2007,WD ,Normal,5,2
535403030,952,128500,20,RL,66.0,8300,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1968,1968,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,86.0,TA,TA,CBlock,3,3,2,3,952.0,1,0.0,0.0,952.0,GasA,Gd,Y,SBrkr,952,0,0,1,0,1,0,3,1,TA,5,Typ,0,0,Attchd,1968,1,2,288.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,8,2007,WD ,Normal,1,5
907412010,1720,196500,60,RL,89.0,11645,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,1,1,0.0,1,0.0,860.0,860.0,GasA,Ex,Y,SBrkr,860,860,0,0,0,2,1,3,1,Gd,7,Typ,0,0,Attchd,2004,2,2,565.0,3,3,Y,0,70,0,0,0,0,0,0,None,0,8,2006,WD ,Normal,1,3
903228080,1218,131000,50,RM,60.0,6000,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,BrkTil,3,4,1,5,375.0,1,0.0,360.0,735.0,GasA,Ex,Y,SBrkr,869,349,0,0,1,1,0,3,1,TA,6,Typ,1,4,Detchd,1941,1,2,440.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,3,2007,WD ,Normal,0,5
531452100,1217,151000,120,RL,50.0,7175,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1991,1991,Gable,CompShg,Plywood,Plywood,None,0.0,Gd,TA,PConc,4,3,1,6,278.0,1,0.0,939.0,1217.0,GasA,Gd,Y,SBrkr,1217,0,0,0,0,2,0,2,1,Gd,5,Typ,0,0,Attchd,1991,2,2,484.0,3,3,Y,0,64,0,0,0,0,0,0,None,0,6,2006,WD ,Normal,5,2
526302030,1293,149900,20,RL,0.0,11027,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,Wd Sdng,Stone,28.0,TA,TA,CBlock,3,3,1,4,468.0,3,539.0,171.0,1178.0,GasA,Gd,Y,SBrkr,1293,0,0,1,0,2,0,2,1,TA,5,Typ,0,0,Attchd,1954,2,2,452.0,3,3,Y,280,0,0,0,0,0,0,0,None,0,5,2006,WD ,Normal,1,5
