Prop_Addr,Delta,SalePrice,Value
3812 ONTARIO ST,81K,118K,undervalued by 
1015 ROOSEVELT AVE,81K,132K,undervalued by 
1920 CLARK AVE,81K,122K,undervalued by 
1411 ROOSEVELT AVE,81K,140K,undervalued by 
4018 ONTARIO ST,81K,115K,undervalued by 
300 ROCKWELL AVE,81K,120K,undervalued by 
2140 SUNSET DR 2142,81K,145K,undervalued by 
803 YUMA AVE 805,81K,120K,undervalued by 
1518 CARROLL AVE,81K,138K,undervalued by 
1216 CARROLL AVE,81K,115K,undervalued by 
623 RIVER OAK DR,81K,124K,undervalued by 
1430 CARROLL AVE,81K,110K,undervalued by 
1307 INDIANA AVE,81K,128K,undervalued by 
3630 STORY ST,81K,129K,undervalued by 
2027 FERNDALE AVE,80K,124K,undervalued by 
307 FRANKLIN AVE,80K,127K,undervalued by 
3232 ELLIS ST,80K,118K,undervalued by 
617 20TH ST,80K,124K,undervalued by 
208 S MAPLE AVE,80K,139K,undervalued by 
609 7TH ST,80K,144K,undervalued by 
3334 SOUTHDALE DR,80K,124K,undervalued by 
1012 9TH ST,80K,140K,undervalued by 
1021 CARROLL AVE,80K,130K,undervalued by 
318 HILLTOP RD,80K,119K,undervalued by 
1517 KELLOGG AVE,80K,135K,undervalued by 
3215 GARNER AVE,80K,120K,undervalued by 
2033 FERNDALE AVE,80K,120K,undervalued by 
3123 STORY ST,80K,136K,undervalued by 
608 DURRELL CIR,80K,131K,undervalued by 
2108 STEVENSON DR,80K,154K,undervalued by 
2318 JENSEN AVE,80K,132K,undervalued by 
1512 HARDING AVE,80K,121K,undervalued by 
1526 HARDING AVE,80K,132K,undervalued by 
2800 ONTARIO ST,80K,150K,undervalued by 
1028 MARSTON AVE,80K,124K,undervalued by 
225 16TH ST,80K,125K,undervalued by 
327 STANTON AVE,80K,140K,undervalued by 
609 STANTON AVE,80K,140K,undervalued by 
200 WELLONS DR 202,80K,128K,undervalued by 
2925 ROSS RD,80K,131K,undervalued by 
213 S HYLAND AVE,80K,136K,undervalued by 
1212 CARROLL AVE,79K,130K,undervalued by 
4027 ROSS RD,79K,123K,undervalued by 
3901 QUEBEC ST 3903,79K,136K,undervalued by 
4922 SCHUBERT ST,79K,120K,undervalued by 
421 HAYWARD AVE,79K,140K,undervalued by 
419 LYNN AVE,79K,139K,undervalued by 
3316 ONTARIO ST,79K,158K,undervalued by 
815 DUFF AVE,79K,139K,undervalued by 
618 STANTON AVE,79K,145K,undervalued by 
1111 BURNETT AVE,79K,130K,undervalued by 
1402 STAFFORD AVE,79K,119K,undervalued by 
407 JEFFREY LN 409,79K,141K,undervalued by 
114 E O NEIL DR,79K,128K,undervalued by 
1210 28TH ST,79K,124K,undervalued by 
1412 HARDING AVE,79K,137K,undervalued by 
508 ELY CIR,79K,120K,undervalued by 
1004 ROOSEVELT AVE,79K,132K,undervalued by 
515 E 13TH ST,79K,124K,undervalued by 
422 HAYWARD AVE,79K,137K,undervalued by 
3804 TORONTO ST,78K,127K,undervalued by 
301 FRANKLIN AVE,78K,134K,undervalued by 
1036 RIDGEWOOD AVE,78K,140K,undervalued by 
803 16TH ST,78K,122K,undervalued by 
2704 MELROSE AVE,78K,143K,undervalued by 
1104 TOP O HOLLOW RD,78K,136K,undervalued by 
1605 CLARK AVE,78K,126K,undervalued by 
1407 CLARK AVE,78K,130K,undervalued by 
1023 MARSTON AVE,78K,123K,undervalued by 
109 S MAPLE AVE,78K,126K,undervalued by 
1226 CURTISS AVE,78K,135K,undervalued by 
1332 ARIZONA AVE,78K,122K,undervalued by 
712 CRAWFORD AVE,78K,141K,undervalued by 
117 S FRANKLIN AVE 119,78K,118K,undervalued by 
1110 JOHNSON ST,78K,128K,undervalued by 
306 ROCKWELL AVE,78K,123K,undervalued by 
1511 CARROLL AVE,78K,133K,undervalued by 
702 HODGE AVE,78K,155K,undervalued by 
614 20TH ST,78K,130K,undervalued by 
5129 SCHUBERT ST,78K,124K,undervalued by 
218 ROCKWELL AVE,78K,117K,undervalued by 
1418 DOUGLAS AVE,78K,139K,undervalued by 
1008 MURRAY DR,78K,130K,undervalued by 
329 FRANKLIN AVE,78K,113K,undervalued by 
1402 DUFF AVE,77K,123K,undervalued by 
808 10TH ST,77K,127K,undervalued by 
1018 CURTISS AVE,77K,132K,undervalued by 
4125 APLIN RD,77K,135K,undervalued by 
1005 HARDING AVE,77K,138K,undervalued by 
2111 HAYES AVE 2113,77K,140K,undervalued by 
3318 SOUTHDALE DR,77K,130K,undervalued by 
3905 QUEBEC ST,77K,136K,undervalued by 
2301 FERNDALE AVE,77K,128K,undervalued by 
411 E 13TH ST,77K,141K,undervalued by 
1122 BURNETT AVE,77K,130K,undervalued by 
2943 NORTHWESTERN AVE,77K,128K,undervalued by 
1020 RIDGEWOOD AVE,77K,137K,undervalued by 
808 TOP O HOLLOW RD,77K,115K,undervalued by 
1009 CLARK AVE,77K,140K,undervalued by 
1413 JOHNSON ST,77K,123K,undervalued by 
411 OPAL CIR 413,77K,145K,undervalued by 
1112 CLARK AVE,77K,132K,undervalued by 
2729 CLEVELAND DR,77K,150K,undervalued by 
1617 DOUGLAS AVE,77K,130K,undervalued by 
1120 CARROLL AVE,77K,139K,undervalued by 
1404 28TH ST,77K,127K,undervalued by 
3618 MARY CIR,77K,122K,undervalued by 
2110 BARR DR,77K,132K,undervalued by 
1327 ALABAMA LN,77K,122K,undervalued by 
437 HILLTOP RD,77K,136K,undervalued by 
2328 BAKER ST,77K,136K,undervalued by 
1803 WILSON AVE,77K,140K,undervalued by 
1119 JOHNSON ST,77K,138K,undervalued by 
932 YUMA AVE,77K,127K,undervalued by 
3825 ONTARIO ST,77K,123K,undervalued by 
209 17TH ST,77K,127K,undervalued by 
1118 JOHNSON ST,77K,138K,undervalued by 
1218 JEFFERSON ST,77K,128K,undervalued by 
1111 HARDING AVE,77K,138K,undervalued by 
1119 MARSTON AVE,77K,133K,undervalued by 
1123 HARDING AVE,76K,132K,undervalued by 
1537 LINDEN DR,76K,145K,undervalued by 
1323 CLARK AVE,76K,132K,undervalued by 
513 GARDEN RD 515,76K,151K,undervalued by 
1511 GLENDALE AVE,76K,126K,undervalued by 
1322 DUFF AVE,76K,138K,undervalued by 
1318 WILSON AVE,76K,146K,undervalued by 
1306 WOODSTOCK AVE,76K,121K,undervalued by 
308 N RUSSELL AVE,76K,149K,undervalued by 
1516 MAXWELL AVE,76K,132K,undervalued by 
1210 CURTISS AVE,76K,128K,undervalued by 
1211 N 2ND ST,76K,141K,undervalued by 
1415 DUFF AVE,76K,140K,undervalued by 
823 YUMA AVE,76K,125K,undervalued by 
1222 CURTISS AVE,76K,134K,undervalued by 
1226 ROOSEVELT AVE,76K,140K,undervalued by 
1604 CARROLL AVE,76K,135K,undervalued by 
2022 HUNZIKER DR,76K,126K,undervalued by 
1204 STAFFORD AVE,76K,140K,undervalued by 
2001 DOUGLAS AVE,76K,136K,undervalued by 
317 E 6TH ST,76K,125K,undervalued by 
3310 OPAL DR 3312,76K,143K,undervalued by 
318 N RUSSELL AVE,76K,139K,undervalued by 
1411 CURTISS AVE,76K,128K,undervalued by 
1530 CURTISS AVE,76K,129K,undervalued by 
207 E 12TH ST,76K,135K,undervalued by 
4126 APLIN RD,76K,134K,undervalued by 
2225 DONALD ST,76K,142K,undervalued by 
1001 NORTH DAKOTA AVE 1003,76K,143K,undervalued by 
1309 GARFIELD AVE,75K,124K,undervalued by 
1122 ARIZONA AVE,75K,132K,undervalued by 
1220 CARROLL AVE,75K,120K,undervalued by 
1308 ALBERTA AVE,75K,128K,undervalued by 
1306 SCOTT CIR,75K,140K,undervalued by 
2017 NORTHWESTERN AVE,75K,143K,undervalued by 
234 S FRANKLIN AVE,75K,130K,undervalued by 
1324 GARFIELD AVE,75K,126K,undervalued by 
3814 QUEBEC ST,75K,130K,undervalued by 
830 RIDGEWOOD AVE,75K,130K,undervalued by 
1212 N 2ND ST,75K,161K,undervalued by 
924 6TH ST,75K,125K,undervalued by 
2017 KELLOGG AVE,75K,139K,undervalued by 
4114 APLIN RD,75K,127K,undervalued by 
1304 ALBERTA AVE,75K,131K,undervalued by 
2002 MELROSE AVE,75K,145K,undervalued by 
3304 HOOVER AVE,75K,123K,undervalued by 
1324 SCOTT CIR,75K,129K,undervalued by 
2624 MELROSE AVE,75K,145K,undervalued by 
813 WILSON AVE,75K,140K,undervalued by 
1122 WHEELER ST,75K,120K,undervalued by 
1719 DOUGLAS AVE,75K,127K,undervalued by 
1320 INDIANA AVE,75K,125K,undervalued by 
704 TOP O HOLLOW RD,75K,120K,undervalued by 
1019 KENNEDY ST,75K,138K,undervalued by 
2310 HAYES AVE,74K,140K,undervalued by 
406 KEN MARIL RD,74K,130K,undervalued by 
5015 EMERSON DR,74K,128K,undervalued by 
1425 MAXWELL AVE,74K,128K,undervalued by 
1410 16TH ST,74K,142K,undervalued by 
1322 ALABAMA LN,74K,126K,undervalued by 
3805 TORONTO ST,74K,129K,undervalued by 
321 CRANE AVE,74K,135K,undervalued by 
500 KEN MARIL RD,74K,124K,undervalued by 
4406 ROSS RD,74K,129K,undervalued by 
4205 WESTBROOK DR,74K,148K,undervalued by 
307 ROCKWELL AVE,74K,125K,undervalued by 
4127 TORONTO ST,74K,128K,undervalued by 
2913 ROSS RD,74K,135K,undervalued by 
210 21ST ST,74K,134K,undervalued by 
1712 COOLIDGE DR,74K,140K,undervalued by 
540 FOREST GLEN,74K,125K,undervalued by 
3718 ROSS RD,74K,128K,undervalued by 
1415 STAFFORD AVE,74K,129K,undervalued by 
3827 MINNETONKA AVE,74K,124K,undervalued by 
500 GARDEN RD,74K,135K,undervalued by 
1207 ARIZONA AVE,74K,130K,undervalued by 
1417 MARSTON AVE,74K,135K,undervalued by 
5423 NORRIS ST,74K,126K,undervalued by 
1327 DOUGLAS AVE,74K,160K,undervalued by 
1115 28TH ST,74K,129K,undervalued by 
702 CRYSTAL ST,74K,135K,undervalued by 
2912 ONTARIO ST,74K,138K,undervalued by 
703 DUFF AVE,74K,168K,undervalued by 
618 CRAWFORD AVE,73K,146K,undervalued by 
302 OPAL CIR,73K,134K,undervalued by 
1306 NORTHWESTERN AVE,73K,150K,undervalued by 
4907 SCHUBERT ST,73K,127K,undervalued by 
3219 ROSS RD,73K,145K,undervalued by 
115 E 13TH ST,73K,134K,undervalued by 
2103 JENSEN AVE,73K,135K,undervalued by 
1432 GRAND AVE,73K,152K,undervalued by 
3319 HARCOURT DR,73K,126K,undervalued by 
317 PEARSON AVE,73K,149K,undervalued by 
324 ROCKWELL AVE,73K,127K,undervalued by 
617 BARR DR,73K,131K,undervalued by 
130 S RIVERSIDE DR,73K,141K,undervalued by 
217 20TH ST,73K,133K,undervalued by 
3815 ONTARIO ST,73K,135K,undervalued by 
1005 YUMA AVE,73K,125K,undervalued by 
1712 WILSON AVE,73K,136K,undervalued by 
804 20TH ST,73K,142K,undervalued by 
743 GARNET DR 745,73K,146K,undervalued by 
317 HILLTOP RD,73K,135K,undervalued by 
4018 QUEBEC ST,73K,132K,undervalued by 
2013 CLARK AVE,73K,135K,undervalued by 
1302 KELLOGG AVE,73K,156K,undervalued by 
614 16TH ST,73K,129K,undervalued by 
3322 SOUTHDALE DR,72K,134K,undervalued by 
1328 GARFIELD AVE,72K,144K,undervalued by 
1125 MARSTON AVE,72K,142K,undervalued by 
1310 ALABAMA LN,72K,129K,undervalued by 
817 HODGE AVE,72K,160K,undervalued by 
1217 CURTISS AVE,72K,135K,undervalued by 
318 ROCKWELL AVE,72K,127K,undervalued by 
1812 CLARK AVE,72K,130K,undervalued by 
1304 GARFIELD AVE,72K,129K,undervalued by 
1320 GRAND AVE,72K,138K,undervalued by 
3732 ONTARIO ST,72K,129K,undervalued by 
903 YUMA AVE,72K,130K,undervalued by 
1248 WISCONSIN AVE,72K,137K,undervalued by 
4142 TORONTO ST,72K,132K,undervalued by 
2908 ONTARIO ST,72K,134K,undervalued by 
507 LYNN AVE,72K,145K,undervalued by 
3418 WEST ST,72K,130K,undervalued by 
424 TEAGARDEN DR,72K,131K,undervalued by 
3819 VIOLA MAE AVE,72K,130K,undervalued by 
1505 NORTH DAKOTA AVE,72K,144K,undervalued by 
4112 TORONTO ST,72K,132K,undervalued by 
1119 KENNEDY ST,72K,143K,undervalued by 
1223 25TH ST,72K,143K,undervalued by 
5203 SCHUBERT ST,72K,128K,undervalued by 
121 MCDONALD DR,72K,135K,undervalued by 
2305 BROADMOOR AVE,72K,145K,undervalued by 
4918 TODD DR,71K,128K,undervalued by 
3330 MORNINGSIDE ST,71K,144K,undervalued by 
700 KELLOGG AVE,71K,157K,undervalued by 
2128 MELROSE AVE,71K,129K,undervalued by 
1010 STAFFORD AVE,71K,126K,undervalued by 
1317 GRAND AVE,71K,146K,undervalued by 
803 DUFF AVE,71K,160K,undervalued by 
1308 MEADOWLANE AVE,71K,126K,undervalued by 
2204 JENSEN AVE,71K,136K,undervalued by 
221 16TH ST,71K,134K,undervalued by 
1802 CLARK AVE,71K,138K,undervalued by 
4418 PHOENIX ST,71K,130K,undervalued by 
1239 WISCONSIN AVE,71K,140K,undervalued by 
608 E 14TH ST,71K,130K,undervalued by 
513 9TH ST,71K,143K,undervalued by 
4106 TORONTO ST,71K,132K,undervalued by 
4133 TORONTO ST,71K,130K,undervalued by 
428 STANTON AVE,71K,149K,undervalued by 
1213 24TH ST,71K,141K,undervalued by 
4617 TWAIN ST,71K,132K,undervalued by 
1128 JOHNSON ST,71K,142K,undervalued by 
812 ARIZONA AVE,71K,129K,undervalued by 
3301 POLARIS DR,71K,133K,undervalued by 
1305 ALABAMA LN,71K,133K,undervalued by 
2103 CLARK AVE,71K,136K,undervalued by 
5106 TODD DR,71K,130K,undervalued by 
822 YUMA AVE,71K,130K,undervalued by 
202 SOUTH DAKOTA AVE,71K,140K,undervalued by 
2010 KILDEE ST,71K,140K,undervalued by 
5445 FROST DR,70K,124K,undervalued by 
810 HODGE AVE,70K,155K,undervalued by 
3309 SOUTHDALE DR,70K,132K,undervalued by 
3330 JEWEL DR,70K,140K,undervalued by 
728 GARNET DR,70K,130K,undervalued by 
1112 WHEELER ST,70K,124K,undervalued by 
113 S RUSSELL AVE,70K,145K,undervalued by 
2320 KNAPP ST,70K,169K,undervalued by 
1330 GRAND AVE,70K,180K,undervalued by 
1015 KENNEDY ST,70K,146K,undervalued by 
723 CARROLL AVE,70K,152K,undervalued by 
278 VILLAGE DR,70K,132K,undervalued by 
620 LYNN AVE,70K,139K,undervalued by 
1603 CARROLL AVE,70K,130K,undervalued by 
1228 ORCHARD DR,70K,138K,undervalued by 
2317 FERNDALE AVE,70K,130K,undervalued by 
5500 KANSAS DR,70K,141K,undervalued by 
1108 JOHNSON ST,70K,144K,undervalued by 
1624 DOUGLAS AVE,70K,132K,undervalued by 
2410 EATON AVE,70K,139K,undervalued by 
232 21ST ST,70K,135K,undervalued by 
807 HODGE AVE,70K,150K,undervalued by 
3329 HARCOURT DR,70K,130K,undervalued by 
1706 CLARK AVE,70K,134K,undervalued by 
732 GARNET DR,69K,130K,undervalued by 
4623 TWAIN ST,69K,133K,undervalued by 
1817 BURNETT AVE,69K,135K,undervalued by 
112 SANDBURG CT,69K,135K,undervalued by 
1012 TOP O HOLLOW RD,69K,128K,undervalued by 
1422 MAXWELL AVE,69K,140K,undervalued by 
318 CRANE AVE,69K,150K,undervalued by 
1115 ORCHARD DR,69K,136K,undervalued by 
722 RIDGEWOOD AVE,69K,129K,undervalued by 
2204 BARR DR,69K,140K,undervalued by 
700 KEN MARIL RD,69K,136K,undervalued by 
2115 HUNZIKER DR,69K,140K,undervalued by 
3913 MINNETONKA AVE,69K,128K,undervalued by 
3203 GARNER AVE,69K,126K,undervalued by 
1105 STAFFORD AVE,69K,136K,undervalued by 
1406 JOHNSON ST,69K,130K,undervalued by 
1422 CURTISS AVE,69K,153K,undervalued by 
2127 MELROSE AVE,69K,136K,undervalued by 
1704 BURNETT AVE,69K,167K,undervalued by 
1124 JOHNSON ST,69K,147K,undervalued by 
736 GARNET DR,69K,132K,undervalued by 
3210 NIXON AVE,69K,123K,undervalued by 
1224 ORCHARD DR,69K,149K,undervalued by 
2318 BAKER ST,69K,148K,undervalued by 
2105 FURMAN DR,69K,140K,undervalued by 
713 8TH ST,69K,161K,undervalued by 
817 KELLOGG AVE,69K,163K,undervalued by 
5107 SCHUBERT ST,69K,132K,undervalued by 
116 15TH ST,69K,156K,undervalued by 
803 FURMAN DR,69K,138K,undervalued by 
2505 GREEN HILLS DR,69K,150K,undervalued by 
4127 ONTARIO ST,69K,135K,undervalued by 
1412 KELLOGG AVE,69K,148K,undervalued by 
322 WESTWOOD DR,68K,137K,undervalued by 
114 S RUSSELL AVE,68K,151K,undervalued by 
615 DULUTH ST 617,68K,159K,undervalued by 
335 FRANKLIN AVE,68K,154K,undervalued by 
509 24TH ST,68K,144K,undervalued by 
1408 INDIANA AVE,68K,145K,undervalued by 
1139 JOHNSON ST,68K,146K,undervalued by 
1426 MAXWELL AVE,68K,134K,undervalued by 
806 MURRAY DR,68K,137K,undervalued by 
4011 DAWES DR,68K,164K,undervalued by 
1304 20TH ST,68K,145K,undervalued by 
1232 ARIZONA AVE,68K,139K,undervalued by 
600 RIDGEWOOD AVE,68K,168K,undervalued by 
510 E 14TH ST,68K,134K,undervalued by 
336 ROCKWELL AVE,68K,134K,undervalued by 
5000 EMERSON DR,68K,130K,undervalued by 
1605 ROOSEVELT AVE,68K,137K,undervalued by 
1423 ROOSEVELT AVE,68K,142K,undervalued by 
2221 CLARK AVE,68K,143K,undervalued by 
1017 KENNEDY ST,68K,148K,undervalued by 
2322 BAKER ST,68K,146K,undervalued by 
1912 BEL AIR DR,68K,147K,undervalued by 
3827 PHOENIX ST,68K,157K,undervalued by 
310 WESTWOOD DR,68K,154K,undervalued by 
217 E 16TH ST,68K,144K,undervalued by 
719 GARDEN RD,68K,131K,undervalued by 
1534 MEADOWLANE AVE,67K,155K,undervalued by 
403 HILLTOP RD,67K,125K,undervalued by 
510 26TH ST,67K,140K,undervalued by 
700 DIAMOND CT,67K,143K,undervalued by 
3809 PHOENIX ST,67K,156K,undervalued by 
1310 WOODSTOCK AVE,67K,135K,undervalued by 
4015 TORONTO ST,67K,134K,undervalued by 
2304 JENSEN AVE,67K,145K,undervalued by 
423 PAULSON DR,67K,158K,undervalued by 
2838 MONROE DR,67K,152K,undervalued by 
407 THACKERAY AVE,67K,135K,undervalued by 
1326 STAFFORD AVE,67K,135K,undervalued by 
2204 DUFF AVE,67K,150K,undervalued by 
1217 25TH ST,67K,142K,undervalued by 
2213 JENSEN AVE,67K,141K,undervalued by 
1015 HARDING AVE,67K,149K,undervalued by 
520 20TH ST 522,67K,136K,undervalued by 
2217 DONALD ST,67K,148K,undervalued by 
2509 MELROSE AVE,67K,135K,undervalued by 
208 22ND ST,67K,141K,undervalued by 
809 HUNZIKER DR,67K,140K,undervalued by 
1907 CLARK AVE,67K,142K,undervalued by 
311 DOTSON DR,67K,138K,undervalued by 
201 E O NEIL DR,67K,159K,undervalued by 
1113 KENNEDY ST,67K,150K,undervalued by 
3605 ROSS RD,67K,148K,undervalued by 
911 MESA VERDE PL,66K,144K,undervalued by 
1122 JOHNSON ST,66K,148K,undervalued by 
1237 24TH ST,66K,138K,undervalued by 
621 RIDGEWOOD AVE,66K,145K,undervalued by 
300 KEN MARIL RD,66K,160K,undervalued by 
1116 BURNETT AVE 1118,66K,155K,undervalued by 
3905 ONTARIO ST,66K,142K,undervalued by 
2507 TYLER AVE,66K,136K,undervalued by 
5011 EMERSON DR,66K,144K,undervalued by 
1401 JOHNSON ST,66K,145K,undervalued by 
3007 DIAMOND ST,66K,148K,undervalued by 
2004 BURNETT AVE,66K,148K,undervalued by 
237 TODD CIR,66K,144K,undervalued by 
2217 FERNDALE AVE,66K,145K,undervalued by 
502 ELY CIR,66K,142K,undervalued by 
1415 CLARK AVE,66K,135K,undervalued by 
1121 TOP O HOLLOW RD 1123,66K,145K,undervalued by 
1106 HARDING AVE,66K,150K,undervalued by 
4619 TWAIN ST,66K,136K,undervalued by 
601 JEWEL DR,66K,140K,undervalued by 
508 LYNN AVE,66K,148K,undervalued by 
810 YUMA AVE,66K,134K,undervalued by 
2302 FURMAN DR,66K,140K,undervalued by 
412 KEN MARIL RD,66K,132K,undervalued by 
2303 MELROSE AVE,66K,144K,undervalued by 
622 11TH ST,66K,150K,undervalued by 
1434 MEADOWLANE AVE,66K,137K,undervalued by 
2537 EISENHOWER AVE,66K,143K,undervalued by 
202 KEN MARIL RD,66K,143K,undervalued by 
3910 ROSS RD,66K,150K,undervalued by 
231 ABRAHAM DR,66K,150K,undervalued by 
3433 WOODLAND ST,66K,144K,undervalued by 
104 E O NEIL DR,66K,139K,undervalued by 
5510 KANSAS DR,66K,140K,undervalued by 
2735 DUFF AVE,66K,180K,undervalued by 
212 ROCKWELL AVE,66K,134K,undervalued by 
1204 28TH ST,66K,143K,undervalued by 
1827 MAXWELL AVE,66K,154K,undervalued by 
301 ROCKWELL AVE,65K,133K,undervalued by 
2225 CLARK AVE,65K,139K,undervalued by 
1202 NORTHWESTERN AVE,65K,159K,undervalued by 
212 E 9TH ST,65K,150K,undervalued by 
1411 GLENDALE AVE,65K,138K,undervalued by 
300 WELLONS DR,65K,148K,undervalued by 
115 15TH ST,65K,144K,undervalued by 
3613 ANNEAR ST,65K,139K,undervalued by 
1010 BROOKRIDGE AVE,65K,144K,undervalued by 
3305 GARNER AVE,65K,133K,undervalued by 
5409 KANSAS DR,65K,142K,undervalued by 
3828 WINDSOR CT,65K,137K,undervalued by 
927 RIDGEWOOD AVE,65K,153K,undervalued by 
425 20TH ST,65K,139K,undervalued by 
3905 TORONTO ST,65K,138K,undervalued by 
1218 WISCONSIN AVE,65K,150K,undervalued by 
2316 KNAPP ST,65K,160K,undervalued by 
1319 MAXWELL AVE,65K,141K,undervalued by 
120 E 7TH ST,65K,154K,undervalued by 
3115 NORTHWOOD DR,65K,150K,undervalued by 
2402 MELROSE AVE,65K,146K,undervalued by 
2102 BARR DR,65K,142K,undervalued by 
5008 EMERSON DR,65K,136K,undervalued by 
804 TOP O HOLLOW RD,65K,130K,undervalued by 
223 E 6TH ST,65K,184K,undervalued by 
133 E O NEIL DR,65K,147K,undervalued by 
306 22ND ST,64K,160K,undervalued by 
1112 KENNEDY ST,64K,147K,undervalued by 
811 DOUGLAS AVE,64K,163K,undervalued by 
4014 DAWES DR,64K,155K,undervalued by 
1219 24TH ST,64K,155K,undervalued by 
934 MESA VERDE PL,64K,135K,undervalued by 
113 S MAPLE AVE,64K,147K,undervalued by 
413 WELLONS CIR,64K,147K,undervalued by 
3010 GROVE AVE,64K,157K,undervalued by 
2609 STANGE RD,64K,147K,undervalued by 
2708 STATE AVE,64K,160K,undervalued by 
1715 CLARK AVE,64K,140K,undervalued by 
816 GRAND AVE,64K,154K,undervalued by 
3901 MARIGOLD DR,64K,140K,undervalued by 
818 MURRAY DR,64K,138K,undervalued by 
1308 STAFFORD AVE,64K,150K,undervalued by 
2209 BURNETT AVE,64K,148K,undervalued by 
1819 24TH ST,64K,146K,undervalued by 
3823 VIOLA MAE AVE,64K,138K,undervalued by 
1333 ARIZONA AVE,64K,144K,undervalued by 
5419 SCHUBERT ST,64K,140K,undervalued by 
1416 JEFFERSON ST,64K,142K,undervalued by 
1117 JOHNSON ST,64K,148K,undervalued by 
2508 EATON AVE,64K,156K,undervalued by 
2603 EISENHOWER AVE,63K,154K,undervalued by 
2234 KNAPP ST,63K,155K,undervalued by 
3401 SOUTHDALE DR,63K,147K,undervalued by 
707 BEACH AVE,63K,145K,undervalued by 
208 TODD CIR,63K,148K,undervalued by 
1431 MARSTON AVE,63K,144K,undervalued by 
2510 EATON AVE,63K,155K,undervalued by 
5449 FROST DR,63K,138K,undervalued by 
2953 NORTHWESTERN AVE,63K,144K,undervalued by 
3302 EMERALD DR,63K,140K,undervalued by 
1810 GEORGE ALLEN AVE,63K,148K,undervalued by 
1001 KENNEDY ST,63K,155K,undervalued by 
5422 KANSAS DR,63K,147K,undervalued by 
3416 WEST ST,63K,140K,undervalued by 
3905 MINNETONKA AVE,63K,130K,undervalued by 
1304 NORTHWESTERN AVE,63K,165K,undervalued by 
1123 SCHOLL RD,63K,155K,undervalued by 
2951 NORTHWESTERN AVE,63K,146K,undervalued by 
3917 VIOLA MAE AVE,63K,134K,undervalued by 
1624 TOP O HOLLOW RD,63K,148K,undervalued by 
1008 MESA VERDE PL,63K,137K,undervalued by 
2629 STANGE RD,63K,150K,undervalued by 
1424 WILSON AVE,63K,156K,undervalued by 
1121 CLARK AVE,63K,156K,undervalued by 
1431 CARROLL AVE,63K,148K,undervalued by 
622 RIDGEWOOD AVE,63K,154K,undervalued by 
1309 JEFFERSON ST,63K,139K,undervalued by 
826 YUMA AVE,63K,138K,undervalued by 
617 CLARK AVE,63K,161K,undervalued by 
2227 STORM ST,63K,164K,undervalued by 
3323 JEFFERSON CIR,63K,143K,undervalued by 
3116 DIAMOND ST,63K,170K,undervalued by 
722 DOUGLAS AVE,63K,185K,undervalued by 
602 KEN MARIL RD,63K,138K,undervalued by 
1607 TRUMAN DR,63K,163K,undervalued by 
4637 TWAIN ST,63K,140K,undervalued by 
1319 ALBERTA AVE,62K,148K,undervalued by 
2220 JENSEN AVE,62K,156K,undervalued by 
1019 ARIZONA AVE,62K,142K,undervalued by 
1711 TOP O HOLLOW RD,62K,154K,undervalued by 
4714 TWAIN ST,62K,141K,undervalued by 
1306 IOWA CIR,62K,150K,undervalued by 
2509 STORM ST 2511,62K,160K,undervalued by 
4410 PHOENIX ST,62K,144K,undervalued by 
1212 JEFFERSON ST,62K,143K,undervalued by 
511 10TH ST 513,62K,140K,undervalued by 
3619 MARY CIR,62K,140K,undervalued by 
5426 KANSAS DR,62K,144K,undervalued by 
2917 EISENHOWER AVE,62K,152K,undervalued by 
2412 EATON AVE,62K,147K,undervalued by 
3328 JEFFERSON CIR,62K,149K,undervalued by 
2407 NORTHWESTERN AVE,62K,142K,undervalued by 
914 MURRAY DR,62K,142K,undervalued by 
1912 WILSON AVE,62K,153K,undervalued by 
3320 EMERALD DR,62K,154K,undervalued by 
5027 EMERSON DR,62K,147K,undervalued by 
4004 TORONTO ST,62K,145K,undervalued by 
1902 BEL AIR CIR,62K,158K,undervalued by 
1405 INDIANA AVE,62K,143K,undervalued by 
3626 STORY ST,62K,160K,undervalued by 
327 22ND ST,62K,158K,undervalued by 
2041 DUFF AVE,62K,164K,undervalued by 
1428 ROOSEVELT AVE,62K,147K,undervalued by 
1604 CLARK AVE,62K,155K,undervalued by 
902 ARIZONA AVE,62K,137K,undervalued by 
1606 TOP O HOLLOW RD,62K,152K,undervalued by 
1217 HARDING AVE,62K,157K,undervalued by 
1511 DOUGLAS AVE,62K,149K,undervalued by 
115 E 14TH ST,62K,135K,undervalued by 
1323 JEFFERSON ST,62K,151K,undervalued by 
210 S HAZEL AVE,62K,152K,undervalued by 
913 DELAWARE AVE,62K,147K,undervalued by 
2607 STANGE RD,62K,150K,undervalued by 
2519 KELLOGG AVE,62K,159K,undervalued by 
2119 FURMAN DR,61K,136K,undervalued by 
618 16TH ST,61K,145K,undervalued by 
3603 WOODLAND ST,61K,146K,undervalued by 
5419 KANSAS DR,61K,146K,undervalued by 
1335 WILSON AVE,61K,146K,undervalued by 
3018 DIAMOND ST,61K,148K,undervalued by 
306 21ST ST,61K,153K,undervalued by 
3821 MARIGOLD DR,61K,142K,undervalued by 
2504 EATON AVE,61K,149K,undervalued by 
301 STANTON AVE,61K,160K,undervalued by 
815 8TH ST,61K,160K,undervalued by 
4133 ONTARIO ST,61K,141K,undervalued by 
5140 EMERSON DR,61K,140K,undervalued by 
