Prop_Addr,LandSlope,OverallQual,OverallCond,ExterQual,BsmtQual,BsmtCond,BsmtExposure,HeatingQC,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,FireplaceQu,GarageQual,PavedDrive,Fence,GrLivArea,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,X2ndFlrSF,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,MoSold,MSSubClass_30,MSSubClass_120,MSSubClass_160,MSSubClass_190,MSZoning_FV,LandContour_Bnk,LandContour_HLS,LotConfig_CulDSac,LotConfig_FR2,Neighborhood_BrkSide,Neighborhood_Crawfor,Neighborhood_Gilbert,Neighborhood_Mitchel,Neighborhood_NPkVill,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_StoneBr,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition2_PosN,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,RoofStyle_Hip,Exterior1st_BrkFace,Exterior1st_HdBoard,Exterior1st_Wd.Sdng,Exterior2nd_HdBoard,Exterior2nd_Plywood,MasVnrType_BrkFace,Foundation_PConc,CentralAir_N,SaleCondition_Abnorml,SaleCondition_Family,SaleCondition_Partial,crime_rate,school_quality,HouseAge,LastRemod,nb_appreciation,nb_income
2313 WESTWIND DR,3,8,5,3,4,3,3,5,0,0,0,2,1,4,8,3,3,3,0,1456,0,3196,40,0,0,1273,1273,0,400,143,20,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,3,3,6,5
2309 WESTWIND DR,3,7,5,3,4,3,3,5,1,0,0,2,1,4,8,3,3,3,0,1455,0,3940,143,1073,0,342,1415,0,644,156,20,0,0,144,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,5,5,6,5
2304 WESTWIND DR,3,7,5,3,4,3,4,5,1,0,0,2,1,4,8,3,3,3,0,1511,0,2938,40,1038,0,330,1368,0,398,130,30,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,4,4,6,5
2314 WESTWIND DR,3,8,5,3,4,3,3,5,1,0,0,2,1,4,8,3,3,3,0,1589,0,3621,72,1084,0,322,1406,0,630,143,20,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,5,10,4,4,6,5
2332 WESTWIND DR,3,7,5,3,4,3,1,5,1,0,0,2,1,4,8,3,3,3,0,1576,0,3940,24,1087,0,306,1393,0,668,143,20,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,5,10,4,4,6,5
2338 WESTWIND DR,3,7,5,3,4,3,1,5,0,0,0,2,1,4,8,3,3,3,0,1414,0,3072,18,0,0,1375,1375,0,398,144,20,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,5,10,2,2,6,5
2404 WESTWIND DR,3,7,5,3,4,3,1,5,1,0,0,2,1,4,8,3,3,3,0,1548,0,3072,18,1059,0,306,1365,0,388,143,20,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,5,10,2,2,6,5
2406 WESTWIND DR,3,7,5,3,4,3,4,5,0,0,0,2,1,4,8,3,3,3,0,1555,43,3182,16,16,0,1357,1373,0,430,143,20,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,4,3,6,5
2408 WESTWIND DR,3,8,5,3,4,3,1,5,0,0,0,2,1,4,8,3,3,3,0,1269,43,3182,16,24,0,1232,1256,0,430,146,20,0,0,144,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,6,5,6,5
2412 WESTWIND DR,3,7,5,3,4,4,1,5,0,0,0,2,1,4,8,4,3,3,0,1504,43,3182,14,16,0,1330,1346,0,437,156,20,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,3,2,6,5
2414 WESTWIND DR,3,7,5,3,4,3,1,5,0,0,0,1,1,4,8,4,3,3,0,1504,43,3182,16,16,0,1330,1346,0,457,156,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,4,3,6,5
4106 BRICKMAN AVE,3,7,5,3,4,3,4,5,0,0,0,2,1,4,8,4,3,3,0,1220,43,3182,16,16,0,1204,1220,0,397,100,16,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,4,3,6,5
4108 BRICKMAN AVE,3,7,5,3,4,3,1,5,0,0,0,2,1,4,8,4,3,3,0,1145,43,3182,11,16,0,1129,1145,0,397,100,16,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,4,3,6,5
4105 BRICKMAN AVE,3,7,5,3,4,3,4,5,0,0,0,2,1,4,8,4,3,3,0,1266,43,3182,16,0,0,1266,1266,0,388,100,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,1,1,6,5
2431 LAKESIDE DR,3,7,5,3,4,3,3,5,0,0,0,2,1,4,8,4,3,3,0,1246,53,3710,20,0,0,1146,1146,0,428,100,24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,10,1,0,6,5
2421 LAKESIDE DR,3,7,5,3,4,3,4,5,0,0,0,2,1,4,8,4,3,3,0,1266,53,3710,16,0,0,1266,1266,0,388,100,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,10,0,0,6,5
2415 LAKESIDE DR,3,7,5,3,4,3,3,5,0,0,0,2,1,4,8,4,3,3,0,1506,43,3013,145,16,0,1346,1362,0,440,142,20,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,1,1,6,5
2420 LAKESIDE DR,3,7,5,3,4,3,4,5,1,0,0,2,1,4,8,4,3,3,0,1500,53,4045,45,1070,0,286,1356,0,648,161,20,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,5,10,0,0,6,5
3917 WELBECK DR,3,7,5,3,4,3,1,5,1,0,1,3,1,4,8,4,3,3,0,1374,67,13300,0,326,0,58,384,630,400,100,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,6,6,6,5
3911 WELBECK DR,3,7,5,3,4,3,3,5,1,0,0,2,1,4,8,0,3,3,0,1119,65,16219,0,779,0,56,835,0,437,100,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,3,2,6,5
3901 WELBECK DR,3,5,5,3,4,4,4,5,0,0,1,4,1,3,8,4,3,3,0,1838,60,21930,0,0,0,732,732,1104,372,100,40,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,1,1,6,5
4009 BRICKMAN AVE,3,7,5,3,4,3,1,5,1,0,1,3,1,4,8,4,3,3,0,1432,71,7795,0,425,0,291,716,716,432,100,51,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,5,4,6,5
4005 BRICKMAN AVE,3,6,5,3,4,3,1,5,0,0,1,3,1,4,8,4,3,3,0,1515,80,9024,0,0,0,789,789,702,393,0,75,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,4,4,6,5
3915 BRICKMAN AVE,3,6,5,3,4,3,1,5,1,0,1,3,1,4,8,4,3,3,0,1509,0,7861,0,457,0,326,783,702,393,100,75,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,4,3,6,5
3827 BRICKMAN AVE,3,6,5,3,4,3,1,5,0,0,1,4,1,4,8,3,3,3,0,2267,0,8068,0,0,0,1010,1010,1257,390,120,46,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,7,7,6,5
3834 WELBECK DR,3,6,5,2,3,3,1,5,1,0,1,3,1,3,8,3,3,3,0,1593,62,7415,0,759,0,80,839,729,398,100,75,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,4,4,6,5
3838 WELBECK DR,3,8,5,3,5,4,4,5,0,0,1,3,1,4,8,4,3,3,0,1414,74,9056,0,0,0,707,707,707,403,100,35,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,2,2,6,5
3908 WELBECK DR,3,7,5,3,4,3,4,5,0,0,1,4,1,4,8,4,3,3,0,1959,59,11796,0,0,0,847,847,1112,434,100,48,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,3,2,6,5
3920 WELBECK DR,3,7,5,3,4,3,3,5,1,0,0,2,1,4,8,0,3,3,0,1166,59,9587,182,655,0,201,856,0,400,212,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,3,3,6,5
4004 WELBECK DR,3,7,5,3,4,3,4,5,0,0,1,3,1,4,8,4,3,3,0,1598,59,9171,0,0,0,848,848,750,433,100,48,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,2,1,6,5
4010 WELBECK DR,3,7,5,3,4,3,2,5,0,0,1,3,1,4,8,4,3,3,0,1374,59,9434,0,0,0,384,384,630,400,100,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,5,4,6,5
4011 WESTLAWN DR,3,7,5,3,4,3,1,5,0,0,1,3,1,4,8,4,3,3,0,1720,62,8244,0,0,0,840,840,880,440,100,48,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,3,3,6,5
4007 WESTLAWN DR,3,7,5,3,4,3,1,5,0,0,1,3,1,4,8,4,3,3,0,1630,62,7984,200,0,0,868,868,762,436,120,48,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,5,4,6,5
4003 WESTLAWN DR,3,6,5,2,4,3,1,5,0,0,1,3,1,4,8,0,3,3,0,1456,51,8029,0,0,0,728,728,728,400,100,24,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,3,3,6,5
3917 WESTLAWN DR,3,7,5,3,4,3,1,5,0,0,1,3,1,4,8,4,3,3,0,1720,0,8010,0,0,0,840,840,880,400,138,48,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,6,5,6,5
3911 WESTLAWN DR,3,8,5,3,4,3,1,5,1,0,1,3,1,4,8,3,3,3,0,1419,0,7750,0,353,0,55,408,640,527,120,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,10,7,7,6,5
3907 WESTLAWN DR,3,6,5,3,4,3,1,5,1,0,1,4,1,4,8,3,3,3,0,1960,0,7851,0,625,0,235,860,1100,440,288,48,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,8,8,6,5
3903 WESTLAWN DR,3,8,5,3,4,3,1,5,0,0,1,3,1,4,8,3,3,3,0,1936,106,11194,40,0,0,1406,1406,482,504,188,124,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,6,6,6,5
4002 BRICKMAN AVE,3,7,5,3,4,3,1,5,0,0,1,3,1,4,8,4,3,3,0,1733,63,8577,0,0,0,847,847,886,433,144,48,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,6,6,6,5
4010 BRICKMAN AVE,3,7,5,3,4,3,2,5,0,0,1,3,1,4,8,4,3,3,3,1594,61,10125,0,0,0,846,846,748,434,300,48,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,5,5,6,5
4015 HYDE AVE,3,7,5,3,4,3,1,5,0,0,1,3,1,4,8,3,3,3,0,1394,0,11950,0,0,0,384,384,640,400,100,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,4,4,6,5
4011 HYDE AVE,3,7,5,3,4,3,1,5,1,0,1,3,1,4,8,4,3,3,0,1489,0,8965,0,652,0,130,782,683,400,0,75,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,6,6,6,5
4007 HYDE AVE,3,7,5,3,4,3,1,5,0,0,1,4,1,4,8,4,3,3,0,1986,0,8396,196,0,0,847,847,1139,434,120,48,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,5,5,6,5
4003 HYDE AVE,3,7,5,3,4,3,1,5,1,0,1,3,1,4,8,3,3,3,0,1342,0,8174,0,494,0,204,698,644,393,100,56,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,6,6,6,5
3913 HYDE AVE,3,7,5,3,4,3,1,5,0,0,1,3,1,4,8,4,3,3,0,1509,63,7875,0,0,0,783,783,702,393,0,75,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,3,3,6,5
3909 HYDE AVE,3,7,5,3,4,3,1,5,0,0,1,4,1,4,8,4,3,3,0,1948,63,7875,16,0,0,847,847,1101,434,0,48,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,4,4,6,5
3906 WESTLAWN DR,3,7,5,2,4,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1430,0,7750,0,250,0,134,384,656,400,180,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,10,10,6,5
2839 ROXBORO DR,3,7,5,3,4,3,1,5,1,0,0,2,1,4,8,4,3,3,0,1314,34,5063,166,904,0,410,1314,0,626,172,62,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,2,1,6,5
3817 WESTLAWN DR,3,6,5,2,4,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1664,0,8121,0,0,0,953,953,711,460,100,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,6,6,6,5
3813 WESTLAWN DR,3,7,5,3,4,3,1,5,0,0,1,4,1,4,8,3,3,3,0,2256,0,8795,0,300,0,652,952,1276,554,224,54,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,9,9,6,5
3809 WESTLAWN DR,3,6,5,2,4,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1889,0,8658,0,732,0,250,982,881,431,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,6,6,6,5
3814 BRICKMAN AVE,3,7,5,3,4,3,1,5,0,0,1,4,1,4,8,4,3,3,0,1995,0,8740,0,574,0,280,854,1131,435,264,48,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,5,5,6,5
3838 BRICKMAN AVE,3,8,5,3,5,3,1,5,1,0,1,4,1,4,8,4,3,3,0,2004,0,12891,0,651,0,219,870,1126,644,0,48,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,7,7,6,5
2403 WELBECK DR,3,7,5,3,4,3,1,4,0,0,1,4,1,4,8,3,3,3,0,1886,0,11214,0,0,0,930,930,930,431,89,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,8,7,6,5
2409 WELBECK DR,3,6,5,2,4,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1647,62,7917,0,0,0,953,953,694,460,0,40,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,8,7,6,5
2427 WELBECK DR,3,6,5,2,4,3,1,5,1,0,1,3,1,3,8,3,3,3,0,1792,93,10261,318,0,0,936,936,830,451,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,8,8,6,5
3808 WESTLAWN DR,3,7,5,2,4,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1430,76,9967,0,0,0,384,384,656,400,100,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,7,7,6,5
3820 WESTLAWN DR,3,7,5,3,4,3,4,5,0,0,1,3,1,3,8,3,3,3,0,1892,71,8220,647,544,0,438,982,884,431,108,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,8,7,6,5
3840 WESTLAWN DR,3,6,5,3,4,3,1,5,1,0,1,3,1,4,8,3,3,3,0,2054,0,12224,40,695,0,297,992,1032,390,24,48,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,9,9,6,5
3845 WELBECK DR,3,7,5,3,4,3,4,5,1,0,1,3,1,4,8,4,3,3,0,1490,60,15384,0,724,0,64,788,702,388,100,75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,4,3,6,5
3837 WELBECK DR,3,7,5,3,4,3,2,5,0,0,1,3,1,4,8,0,3,3,0,1374,61,9734,0,241,113,30,384,630,400,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,5,5,6,5
3825 WELBECK DR,3,7,5,3,4,3,1,5,0,0,1,3,1,4,8,0,3,3,0,1320,0,7750,0,0,0,660,660,660,400,0,48,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,4,4,6,5
3813 WELBECK DR,3,7,5,3,4,3,1,5,0,0,1,3,1,4,8,4,3,3,0,1414,0,7750,0,0,0,707,707,707,403,100,35,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,6,6,6,5
2448 WELBECK DR,3,6,5,2,4,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1800,60,8123,16,0,0,982,982,793,463,100,63,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,9,9,6,5
2438 WELBECK DR,3,6,5,2,4,3,1,5,1,0,1,3,1,3,8,3,3,3,0,1671,58,10852,0,786,0,173,959,712,472,0,38,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,6,6,6,5
2420 WELBECK DR,3,6,5,2,4,3,1,5,1,0,1,3,1,3,8,3,3,3,0,1690,58,9487,0,520,0,395,915,750,442,0,50,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,7,7,6,5
2414 WELBECK DR,3,6,5,2,4,3,1,5,1,0,1,3,1,3,8,3,3,3,0,1514,42,8433,0,683,0,111,794,695,394,0,72,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,9,9,6,5
2408 WELBECK DR,3,7,5,2,4,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1430,62,7750,0,0,0,384,384,656,400,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,10,9,6,5
2411 GRANT CIR,3,7,5,3,4,3,1,5,0,0,1,3,1,4,8,4,3,3,0,2035,0,9505,180,0,0,884,884,1151,434,144,48,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,9,9,6,5
2417 GRANT CIR,3,7,5,3,4,3,1,5,1,0,1,4,1,4,8,3,3,3,0,2312,0,15896,210,913,0,264,1177,1089,658,298,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,10,10,6,5
2423 GRANT CIR,3,6,5,2,4,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1675,0,24682,0,0,0,841,841,783,502,0,103,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,10,10,6,5
2416 GRANT CIR,3,7,5,3,4,3,1,5,0,0,1,4,1,3,8,3,3,3,0,2322,41,12460,0,870,0,167,1037,1285,400,144,44,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,9,8,6,5
2410 GRANT CIR,3,7,5,3,4,3,1,5,1,0,1,3,1,4,8,3,3,3,4,2060,0,8755,298,772,0,220,992,1038,390,0,0,0,168,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,10,10,6,5
3838 HYDE AVE,3,6,5,2,4,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1644,59,9649,0,0,0,941,941,683,460,460,42,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,8,7,6,5
